,precision,recall,f1-score,support
AD,0.8960739030023095,0.6959641255605381,0.7834427057041898,4460.0
NC,0.755057803468208,0.920704845814978,0.8296943231441049,4540.0
accuracy,0.8093333333333333,0.8093333333333333,0.8093333333333333,0.8093333333333333
macro avg,0.8255658532352588,0.8083344856877581,0.8065685144241473,9000.0
weighted avg,0.8249391150151072,0.8093333333333333,0.8067740771683247,9000.0
